,Unnamed: 0,구분,은행명_전처리,은행_대표홈페이지,유형,BIS비율_등급,유동성비율_등급,총자산_등급,안정성,여신비율_등급,대손충당금_등급,자기자본_등급,건전성,ROA_등급,당기순이익_등급,수익성,총합계,등급
0,0,주식회사 카카오뱅크,카카오뱅크,https://www.kakaobank.com/products/withdrawal,은행,107,116,83,52.0,129,100,87,28.85,79,81,16.0,96.85,1
1,1,남양저축은행,남양저축은행,https://www.nybank.co.kr/DepDein0100.act,저축은행,109,90,39,45.6,114,108,49,20.9,145,75,22.0,88.5,1
2,2,국민은행,KB국민은행,https://obank.kbstar.com/quics?page=C030037#loading,은행,88,24,94,38.2,136,104,93,30.6,73,93,16.6,85.4,1
3,3,한국씨티은행,한국씨티은행,https://www.citibank.co.kr/MndMdtrMain0100.act?MENU_TYPE=pre&MENU_C_SQNO=M0_000040,은행,103,38,81,42.8,122,102,86,28.4,56,84,14.0,85.2,1
4,4,하나은행,하나은행,https://www.kebhana.com/cont/mall/mall08/mall0805/index.j네,은행,86,26,93,37.7,138,103,91,30.25,78,92,17.0,84.95,1
5,5,농협은행주식회사,NH농협은행,https://smartmarket.nonghyup.com/servlet/SFSD0130R.view,은행,90,33,89,39.2,134,106,88,29.6,66,90,15.6,84.4,1
6,6,신한은행,신한은행,https://bank.shinhan.com/index.jsp#020100000000,은행,87,23,92,37.6,135,96,92,29.95,70,91,16.1,83.65,1
7,7,한국스탠다드차타드은행,SC제일은행,https://www.standardchartered.co.kr/np/kr/pl/se/SavingList.jsp?ptfrm=HIN.KOR.INTRO.mega.korPerA1_0,은행,94,35,87,40.4,133,101,84,28.5,58,85,14.3,83.2,1
8,8,우리은행,우리은행,https://spot.wooribank.com/pot/Dream?withyou=PODEP0019,은행,78,28,91,35.3,137,99,89,29.6,74,89,16.3,81.2,1
9,9,부산은행,부산은행,https://www.busanbank.co.kr/ib20/mnu/FPMDPO011011001,은행,77,31,86,34.8,132,105,85,28.85,77,86,16.3,79.95,1
10,10,대구은행,DGB대구은행,https://www.dgb.co.kr/com_ebz_fpm_sub_main.j네,은행,85,30,85,37.0,126,88,83,27.3,69,87,15.6,79.9,1
11,11,제주은행,제주은행,https://www.e-jejubank.com/HomeFinanceMallDeposit.do,은행,105,36,73,42.4,124,77,72,24.45,57,71,12.8,79.65,1
12,12,부림저축은행,부림저축은행,https://www.bulimbank.co.kr/main.act,저축은행,111,113,18,46.4,92,67,39,15.75,109,65,17.4,79.55,1
13,13,민국저축은행,민국저축은행,https://www.mkb.co.kr/DepDein0100.act,저축은행,108,98,24,44.6,98,76,43,17.3,117,57,17.4,79.3,1
