company_name,product_name,premium_male_30,premium_female_30,entry_age_start,entry_age_end,insurance_price_index,deposit_protection,protection_insurance,withdrawal_period,actual_loss_coverage_proportional_compensation,premium_renewal,cancellation_refund_zero,fixed_rate,product_description_summary
교보생명,무배당교보실손의료비보험(갱신형)Ⅲ_2107,8740,10550,0,60,86.3,1,1,1,1,1,1,0,"특이사항: 🔄 1년 단위 갱신 최대 100세까지 가능해요. 보험료는 매년 변할 수 있어요.
보험금 지급: 💰 상해나 질병으로 인한 의료비 보장 연간 최대 5천만원까지!
지급 제한: ⚠️ 고의적 사고나 특정 비급여 항목은 제외되요."
"DB손보
",(무)다이렉트 실손의료비보험2301(CM),8564,9789,19,70,87.8,1,1,1,1,1,1,0,"특이사항: 🔄 매년 위험률에 따라 보험료 재산출 5년마다 재가입 가능해요.
보험금 지급: 💰 입원/통원 시 상해급여 및 질병급여의료비 보장 본인부담금의 80%!
지급 제한: ⚠️ 보장 시작은 첫 납입 후부터 이중 보상은 제외되요."
"
농협손보
",(무)헤아림다이렉트실손의료비보험2301,9910,10059,19,50,92.3,1,1,1,1,1,1,0,"특이사항: 🔄 매년 갱신되는 상품 100세까지 보장 가능하고 5년마다 재가입해요.
보험금 지급: 💰 상해나 질병 시 의료기관 치료에 대한 실손의료비 보장해드려요.
지급 제한: ⚠️ 보장은 첫 납입 후부터 시작되며 다른 보험 보상과 중복은 안 돼요."
"삼성생명
",삼성 인터넷 급여 실손의료비보장보험(2301)(갱신형무배당),9380,10820,20,60,95.6,1,1,1,1,1,1,0,NA
삼성화재,무배당 삼성화재 다이렉트 실손의료비보험(2304.3),10224,12156,0,65,96.5,1,1,1,1,1,1,0,NA
"MG손보
",(무)다이렉트 실손의료비보험(23.01),9232,10966,19,39,97.5,1,1,1,1,1,1,0,NA
DB생명,무배당 DB 기본형 급여 실손의료비보장보험(갱신형)(2211),9020,10030,0,60,99.8,1,1,1,1,1,1,0,NA
삼성생명,삼성 급여 실손의료비보장보험(2301)(갱신형무배당),9800,11320,0,60,100.0,1,1,1,1,1,1,0,NA
한화생명,한화생명 기본형 급여 e실손의료비보장보험(갱신형) 무배당,8712,9701,19,49,100.7,1,1,1,1,1,1,0,NA
"
한화손보
",한화실손의료보험(갱신형)2310 무배당,10066,10657,0,70,100.8,1,1,1,1,1,1,0,NA
롯데손보,무배당 let:click 실손의료보험Ⅳ(2107),7213,8371,19,49,101.2,1,1,1,1,1,1,0,"1. **특이사항**:
   - **보험기간**: 1년 단위로 설정되며 최대 4회 갱신 가능합니다.
   - **단독상품 가입**: 실손의료보험은 별도로 가입 가능하며 주로 건강보험의 본인부담금 및 비급여의료비를 보상합니다.
   - **자동갱신 및 보험료 변동**: 매년 보험료가 변동되며 갱신일 15일 전에 변경된 보험료가 안내됩니다.

2. **보험금 지급사유 및 지급금액**:
   - **상해급여 및 질병급여**: 상해 또는 질병으로 인한 의료기관의 입원 또는 통원 시 본인부담금의 80%에 해당하는 금액을 보상합니다. 통원 항목별 공제금액은 의원병원에서의 외래 및 처방조제 시 1만원 상급·종합병원에서는 2만원과 보장대상의료비의 20% 중 큰 금액이 적용됩니다.
   - **비급여 보장**: 상해 및 질병으로 인한 비급여 의료비에 대해서는 70% 보상하며 통원 시 공제금액은 3만원과 보장대상의료비의 30% 중 큰 금액입니다.

3. **지급 제한사항**:
   - 보장은 제1회 보험료 납입 후부터 시작되며 첫 보험료를 납입하기 전 사고에 대해서는 보상하지 않습니다.
   - 동일 의료비를 다른 보험에서 보상받은 경우 이중으로 보상되지 않을 수 있습니다."
동양생명,무배당수호천사급여실손의료비보장보험(갱신형),9460,10830,0,50,101.6,1,1,1,1,1,1,1,NA
"메리츠화재
",메리츠 다이렉트 실손의료비보험2312,9591,11052,0,60,104.8,1,1,1,1,1,1,0,NA
"
농협생명
",New안심케어NH실손의료비보험(갱신형무배당),8630,10010,0,65,106.8,1,1,1,1,1,1,0,NA
현대해상,(무)현대해상다이렉트실손의료비보장보험(갱신형)(Hi2307),11072,10859,0,60,109.3,1,1,1,1,1,1,0,NA
흥국생명,무배당 흥국생명 실손의료비보험(갱신형),10170,12140,0,70,109.5,1,1,1,1,1,1,0,NA
KB손보,무배당 KB손보 다이렉트실손의료비보장보험(23.01),10911,12053,0,60,109.5,1,1,1,1,1,0,0,NA
흥국화재,(무)흥국화재 다이렉트 실손의료보험(23.07),11124,13668,0,49,128.6,1,1,1,1,1,1,0,NA
