날짜,선행종합지수(2020=100),재고순환지표(%p),경제심리지수,기계류내수출하지수(선박제외)(2020=100),건설수주액(실질)(십억원),수출입물가비율(2015=100),코스피(1980.1.4=100),장단기금리차(%p),동행종합지수(2020=100),광공업생산지수(2020=100),서비스업생산지수(도소매업제외)(2020=100),건설기성액(실질)(십억원),소매판매액지수(2020=100),내수출하지수(2020=100),수입액(실질)(백만불),비농림어업취업자수(천명),후행종합지수(2020=100),생산자제품재고지수(2020=100),소비자물가지수변화율(서비스),소비재수입액(실질)(백만불),취업자수(천명),CP유통수익률(%p),실업률총계,실_15-19세,실_20-29세,실_30-39세,실_40-49세,실_50-59세,실_60세이상,경제위기,국내총생산(GDP)(당해년 가격) (10억원\),1인당 GDP(당해년 가격) (만원),GDP 성장률 (%),소비자물가지수,농산물및석유류제외지수,식료품 및 에너지제외 지수,기준금리,원달러환율,달러인덱스,미_경기침체데이터,미_실업률,미_cpi,미_mom,미_yoy,미_corecpi,미_coremom,미_coreyoy,콜금리,South Korea,Korea Text,United States of America,US Text,동행지수순환변동치,선행지수순환변동치,BSI_전산업,BSI_제조업,BSI_비제조업,뉴스심리지수,현재경기판단,현재생활형편,소비자심리지수(CCSI),up_down,미_금리,미국채_2,미국채_5,미국채_10,미국채_20
2003-01-01,53.7,-0.4,101.4,90.1,8145.7,148.2,604.9,0.99,57.8,51.6,60.1,8279.9,63.7,74.3,20816,20182.1,56.9,42.2,2.9,2421.1,22277.3,4.6,3.7,13.4,8.4,2.8,2,2.2,1.1,1,196663.6,1748.4,4.2,68.835,69.434,71.049,4.25,1070.1,100.14,0,5.8,182.6,0.440044004,2.757456387,182.6,1.960784314,0.156168662,4.28,117.17,메르스,128.5625134,브렉시트,101.1,100.2,82,83,80,106.39,82,87,97,1,1.24,1.743333333,3.052380952,4.048571429,5.021904762
2003-02-01,53.7,-0.9,100.1,88.8,8048.8,148.9,595.1,0.84,57.7,51.7,60.7,8237.5,62.6,73.5,20749,20162.3,57.2,42.9,3.1,2390.2,22240,4.7,3.8,12.2,8.8,2.9,2.1,2.3,0.9,1,196663.6,1748.4,4.2,69.213,69.561,71.245,4.25,1193.7,99.81,0,5.9,183.6,0.547645126,3.146067416,183.6,1.797990481,0.051975052,4.3,112.72,메르스,128.5625134,브렉시트,100.7,99.9,73,77,71,106.39,82,87,97,1,1.26,1.627894737,2.897894737,3.902631579,4.87
2003-03-01,53.8,-1.8,98.5,87.6,7904.5,149.7,591.1,0.72,57.7,51.8,61.3,8217.6,62,72.9,20673.4,20152.4,57.4,43.5,3.4,2364.9,22206.7,4.8,3.7,12.1,8.2,2.9,2.2,2.6,1,1,196663.6,1748.4,4.2,70.034,70.266,71.965,4.25,1254.6,99.49,0,5.9,183.9,0.163398693,3.025210084,183.9,1.744186047,0,4.24,129.87,메르스,128.5625134,브렉시트,100.4,99.7,71,75,68,106.39,82,87,97,1,1.25,1.573809524,2.783809524,3.807142857,4.816190476
2003-04-01,53.7,-6.2,97.5,86.3,7858.6,150.3,576.1,0.61,57.6,51.9,61.8,8153.6,60.3,72,20615.6,20122.7,57.6,44.4,3.7,2329.4,22165.5,5,3.5,9.9,7.5,3,2.1,2.2,1,1,205785.3,1748.4,2.3,69.908,70.33,72.162,4.25,1215.3,98.1,0,6,183.2,-0.380641653,2.175125488,183.2,1.47601476,0,4.24,109.71,메르스,128.5625134,브렉시트,99.8,99.3,76,81,72,106.39,71,45,91,0,1.26,1.622380952,2.928571429,3.958571429,4.911904762
2003-05-01,53.7,-8.5,95.5,85.4,7624.8,151.2,583.4,0.53,57.8,51.9,62.5,8178,60.8,71.6,20523.1,20132.7,57.8,44.8,3.8,2315.3,22140.3,5.1,3.4,9.5,7.4,2.9,2.2,2.1,0.9,1,205785.3,1748.4,2.3,69.782,70.459,72.227,4,1205.9,97.38,0,6.1,182.9,-0.163755459,1.894150418,182.9,1.526315789,0.207792208,4.07,120.27,메르스,128.5625134,브렉시트,99.8,99.1,74,77,71,106.39,71,45,91,1,1.26,1.415238095,2.515714286,3.569047619,4.521428571
2003-06-01,54.1,-6.8,95.7,85.2,8831.2,151.6,620.9,0.35,58,52.1,62.9,8357.3,60.9,71.7,20500.6,20148.6,58,45.1,3.9,2348.2,22131.2,5,3.4,15.2,7.2,2.9,2.2,2.2,0.8,1,205785.3,1748.4,2.3,69.592,70.586,72.293,4,1293,97.14,0,6.3,183.1,0.109349371,1.948775056,183.1,1.472134595,0.051840332,4.01,115.98,메르스,128.5625134,브렉시트,99.8,99.4,74,72,71,106.39,71,45,91,0,1.22,1.227142857,2.265714286,3.334285714,4.34047619
2003-07-01,54.3,-6.9,93.9,82.8,9485.6,151,660.1,0.45,58.1,51.7,62.9,8546,61.4,70.7,20305.5,20213.2,58.1,45.1,3.9,2385.3,22168,4.8,3.6,16,7.3,2.9,2.2,2.2,1,1,209454.4,1748.4,2.1,69.53,70.522,72.227,3.75,1179.7,95.11,0,6.2,183.7,0.327689787,2.055555556,183.7,1.522309711,0.207253886,3.83,88.67,메르스,128.5625134,브렉시트,99.8,99.4,66,67,66,106.39,70,43,91,1,1.01,1.474090909,2.872272727,3.975454545,4.921818182
2003-08-01,54.7,-5.3,94.9,82.1,10431.6,150.6,699.5,0.73,58.3,52.3,63.1,8647.2,61.6,70.6,20166.8,20250.1,58.2,45.4,3.9,2432.1,22191.7,4.5,3.5,9.7,7.2,3.1,2.5,2.2,0.9,1,209454.4,1748.4,2.1,69.845,70.65,72.293,3.75,1178.2,93.31,0,6.1,184.5,0.435492651,2.216066482,184.5,1.308215594,0.103412616,3.74,89.55,메르스,128.5625134,브렉시트,99.8,99.8,68,69,67,106.39,70,43,91,1,1.03,1.864285714,3.37,4.445238095,5.392380952
2003-09-01,54.9,-5.5,96.9,82.2,9782.1,150.6,725.8,0.91,58.5,52.6,63.1,8537.2,62,70.9,20398.8,20279.5,58.3,45.3,3.9,2456.2,22210.9,4.3,3.3,10.5,6.7,3.1,2.2,2.2,1,1,209454.4,1748.4,2.1,70.477,70.78,72.489,3.75,1150.1,93.2,0,6.1,185.1,0.325203252,2.378318584,185.1,1.254573968,0.051652893,3.74,90.03,메르스,128.5625134,브렉시트,99.8,99.9,70,74,67,106.39,70,43,91,1,1.01,1.706190476,3.184761905,4.274285714,5.208095238
2003-10-01,55.4,-2.1,99,83.8,9599.8,149.9,743.5,1.06,58.9,54.2,63,8566.9,62.2,72.8,20778.4,20295.9,58.4,45,3.8,2555.1,22224.8,4.2,3.4,12.8,7.1,3.2,2.1,2,1.1,1,225461.8,1748.4,4,70.539,70.714,72.489,3.75,1183.1,92.88,0,6,184.9,-0.108049703,2.041942605,184.9,1.305483029,0.154878678,3.75,96.44,메르스,128.5625134,브렉시트,100.2,100.3,77,82,73,106.39,75,54,94,1,1.01,1.747727273,3.185909091,4.290454545,5.209090909
2003-11-01,55.5,-0.6,100.3,84,8175.9,149.2,762.6,1.1,59.1,54.9,63,8558.8,62.4,73.4,20966.5,20331.2,58.6,44.6,3.8,2656.7,22259.7,4.2,3.5,15.7,7.7,3,2.2,1.8,1.1,1,225461.8,1748.4,4,70.413,70.78,72.424,3.75,1202.1,91.51,0,5.8,185,0.054083288,1.928374656,185,1.094319958,0,3.78,84.66,메르스,128.5625134,브렉시트,100.3,100.3,80,88,75,106.39,75,54,94,1,1,1.926666667,3.287222222,4.3,5.170555556
2003-12-01,55.7,0.6,101.6,82.9,7603.5,148.1,782.3,1.31,59.5,55.8,62.4,8816.6,62,74.1,21383.3,20406.4,58.8,44.4,3.6,2787.8,22340.4,4.3,3.8,16.7,8.3,3,2.2,2,1.3,1,225461.8,1748.4,4,70.73,71.099,72.817,3.75,1192.6,90.96,0,5.7,185.5,0.27027027,2.03520352,185.5,1.093180635,0.103092784,3.78,84.18,메르스,128.5625134,브렉시트,100.6,100.3,81,86,78,106.39,75,54,94,1,0.98,1.907272727,3.268636364,4.267727273,5.110454545
2004-01-01,56,1.8,103.9,83.2,7107,147.9,811.9,1.35,59.8,56.1,62.3,8943.1,62.3,74.4,21704.4,20516.6,59,44.4,3.5,2841.1,22464.2,4.5,4,16.9,8.6,3.1,2.2,2.2,1.4,0,225461.8,1889.3,5.8,71.172,71.355,73.014,3.75,1173.7,90.68,0,5.7,186.3,0.431266846,2.026286966,186.3,1.143451143,0.205973223,3.78,101.96,메르스,128.5625134,브렉시트,100.9,100.5,77,85,71,106.39,73,52,95,1,1,1.761,3.1215,4.1505,5.0065
2004-02-01,56.3,4.3,105.3,83.5,7280.1,147.5,838.1,1.37,60.3,57.3,62.3,8974,62.5,75.3,22074.7,20641.5,59.3,45,3.5,2833.3,22615.4,4.5,4.1,14.7,9.1,3.1,2.6,2.6,1.5,0,213471.2,1889.3,5.8,71.487,71.419,73.079,3.75,1176.2,90.28,0,5.6,186.7,0.214707461,1.688453159,186.7,1.246753247,0.154162384,3.76,87.74,메르스,128.5625134,브렉시트,101.4,100.8,76,83,71,106.39,73,52,95,1,1.01,1.74,3.067894737,4.084210526,4.936842105
2004-03-01,56.5,5.8,106.2,83.5,7115.4,146.5,862.9,1.3,60.6,57.8,63,8911.7,62.4,75,22365.5,20722.2,59.5,45.6,3.4,2900.6,22718.2,4.4,4,17,8.7,2.9,2.8,2.5,1.2,0,213471.2,1889.3,5.8,72.181,72.188,73.668,3.75,1146.6,90.11,0,5.8,187.1,0.214247456,1.740076128,187.1,1.558441558,0.30785018,3.76,101.32,메르스,128.5625134,브렉시트,101.6,100.8,79,86,74,106.39,73,52,95,1,1,1.577826087,2.786956522,3.826521739,4.717391304
2004-04-01,56.7,7.9,106.9,83.5,6976.2,145.5,883.4,1.21,60.8,58.6,63.3,8876,61.8,75.1,22627.7,20748.6,59.6,46,3.2,2950.3,22731.6,4.2,3.7,12.8,7.8,3.2,2.3,2.4,1.2,0,225589.8,1889.3,6.7,72.181,72.252,73.734,3.75,1173.3,89.93,0,5.6,187.4,0.160342063,2.292576419,187.4,1.766233766,0.204603581,3.75,104.44,메르스,128.5625134,브렉시트,101.6,100.9,88,93,84,106.39,69,45,89,1,1,2.070952381,3.38952381,4.347619048,5.157619048
2004-05-01,56.7,8.8,104.3,83.1,6777,144.5,860.5,1.08,60.8,58.8,63.4,8900.5,61.1,74.3,22865,20724.4,59.6,46.2,2.9,2954.7,22661.1,4.1,3.5,10.8,8,2.8,2.2,2.2,1.2,0,225589.8,1889.3,6.7,72.119,72.38,73.799,3.75,1160.1,89.35,0,5.6,188.2,0.426894344,2.897758338,188.2,1.710730949,0.153139357,3.76,141.19,메르스,128.5625134,브렉시트,101.2,100.5,79,85,75,106.39,69,45,89,1,1,2.5335,3.8505,4.7155,5.464
2004-06-01,56.7,8.6,101.3,83.3,6574.2,144.3,825.8,0.98,60.9,58.7,63.5,8734.6,61.9,73.9,22926.5,20727.4,59.6,46.3,2.7,2738.1,22621.3,4.1,3.4,18,7.4,2.7,2,2.1,1.1,0,225589.8,1889.3,6.7,72.119,72.509,73.864,3.75,1155.5,89.23,0,5.6,188.9,0.37194474,3.167667941,188.9,1.865284974,0.203873598,3.76,94.94,메르스,128.5625134,브렉시트,101,100.2,76,84,70,106.39,69,45,89,1,1.03,2.763333333,3.929047619,4.733809524,5.45047619
