상품명,제목,날짜,본문,댓글
OSB저축은행 예금, 저축은행 예적금가입시 알아두면 괜춘한것들..저축은행 첫가입예정자만... ,2022.10.21. 20:53,"한 일년넘게 저축은행금리가 한때는 새마을금고 한때는 신협에 밀려서 매우 낮은편이었는데요10월 접어들어서 예전처럼 2금융권에서 가장 높은 금리를 연일 선보이고 있네요혹시나 저축은행 예적금 가입이 익숙치 않은 분들을 위해 대다수는 알고있지만 모를수도 있는 몇가지를 정리해봤어요​​1. 창구 가입시정기예금은 입출금통장 필수 X . 정기적금은 입출금 통장 필수 O (20일제한)창구방분 예금가입시 현금이나 수표를 꼭 준비해 가야 하는 저축은행이 있는반면에 (EX.인천저축은행 등)당 저축은행 온라인 송금계좌에 입금이 가능한 은행도 있으니 방문전 전화필수 (EX.OSB저축은행 등)​2. 창구 대리개설시 필요서류대리개설시 3개월이내 발행된 가족관계증명서(주민번호뒷자리 모두나온것)1부. (은행에서 확인용이니 여러군데 대리개설할예정이어도 한부면 가능(천원)예금 가입할사람의 신분증, 인감도장 (서명거래불가)대리개설자 신분증 (서명가능)​3. 창구 대리 해지시 필요서류예금주의 통장. 도장. 신분증. 위임장(해당저축은행의 홈페이지의 양식을 다운받아 예금주본인의 자필작성)예금주의 3개월이내 발행된 인감증명1통 제출대리인의 신분증, 도장(서명)서류를 준비해서 대리인이 해당은행에 방문하면 해지금액을 예금주 본인의 타행계좌로 송금해줌(간혹 은행에 따라서 원하면 수표로 주는곳도 있으나 이건 사전 전화확인필요)​4 비대면SB톡톡앱 가입시작앱을 다운받은후 실행하고 비로그인서비스 - 계좌개설로 들어가면시도별 저축은행의 목록을 확인가능. 기본검색필터는 12개월.복리이니 지역과. 원하는 이자지급방식을 선택해서원하는 상품을 가입하면됨각 저축은행별 상품가입시간은 해당은행별로 상이할수 있으니 사전 확인이 필요하고 만에 하나 4시이전에 예금가입신청을 해두는것이 안전함(은행영업시간만 앱 상품가입이 가능한 저축은행도 있음)​5. 앱을 통한 정기예금 비대면 가입시 기본적으로 비대면 보통계좌가 만들어지는것이 원칙이나20일 계좌개설 제한때문에 전용계좌를 통한 상품가입이 허용됨​  5-1 현재 예금가입자가 입출금통장 개설제한이 없는경우정기예금가입시 자동으로 비대면 보통통장이 생성됨. 이경우 입출금통장에 공동인증서 등록및 실물OTP 등록(1회이체한도 천만원 초과하기위해서) 그리고 한도제한을 당 저축은행에 해제신청을 해야하므로 번거로운점이 한두가지가 아님절대비추천​  5-2 현재 예금가입자가 입출금 개설 제한인경우전용계좌 일시생성으로 정기예금 가입가능 (정기적금은 불가능)4.에서 원하는 상품 클릭을 하고 예금에 대한 기본동의와 핸드폰인증 그리고 신분증 촬영을 마치게되면20일 입출금 계좌제한인 경우 전용계좌 알림 팝업창이 뜨니 이걸 꼭 확인하고 입출금통장이 자동개설되는걸 꼭방지할것. 실수로 5-1로 가버리면 나중에 피곤해짐​전용계좌로 가입안내 팝업창을 확인후 1원 타행계좌인증을 하게되는데 이계좌로 단리상품은 매달 이자와 만기원금이복리상품은 원금과 이자가 만기때 자동송금되니 본인이 원하는 계좌(파킹통장 및 이자정리통장)를 미리 선택해두고가입할것.​모든단계를 마치면 전용계좌와 번호와 가입한 예금상품안내문자가 발송됨(아직 정기예금상품 가입이 완료된것은 아니기에 2개이상의 상품에 가입하고자 하는사람은 여기서 다른상품검색후가입을 하게되면 이전것을 취소하던가 계속 진행하라는 팝업창이 뜨게될것임)​전용계좌번호를 받았으면 그계좌로 입금을해야하는데 여기서 주의할것은​- 자신이 계약한 금액을 정확이 한번에 온라인상으로 본인계좌에서 직접 송금해야함(예를들어 이천만원계약을 신청해두고 실수로 20,000,001원을 보내거나천만원씩 두번송금을 한다거나 본인이 실물OTP를 사용하지 않는경우 1회이체한도액이 천만원이기때문에거래은행 창구에서 계좌이체를 한다거나 모두 가입이 불가한 경우이고 송금이 실패함또한 오픈뱅킹으로 보내도 불가한것으로 알고있음)​- 만약, 자신이 실물OTP가 없어서 (보안카드나, 모바일 OTP) 1회이체한도가 천만원일경우 TIP한도제한이 풀린 신협OR새마을금고 보통통장이 있다면 이 두곳은 모바일 OTP만으로도 오천이상 보낼수 있기에실물OTP준비가 당장 어려울땐 이방법을 추천함​성공적으로 전용계좌에 입금을 마치면 보통 1분이내로 해당저축은행에서 신규정기예금 정상처리/등록되었다는 문자가발송되고 예금가입신청시 만들어두었던 해당은행 뱅킹아이디와 비밀번호로 접속이 가능하면서SB톡톡앱에 접속하면 해당은행의 상품을 확인할수 있음 (기존 이용자는 해당상품이 완료전에도 이전 타은행 가입이 되어있다면 접속이 가능하지만 상품은 아직 안보일수 있음)​(현재 이용자수 폭증으로 1시간정도의 대기시간이 걸리니 이것은 초조해하지말고 전용계좌입금후 해당저축은행에서 정상처리./등록되었다는 문자수신전에 타 상품을 추가 가입하지 말것)​​특판이 잠잠해지고 SB톡톡 고객센터 1544-3637 전화통화가 원할해지면(현재는 통화연결이 매우어려움)궁금했던것들이나 돌발상황을 전화문의하면 아주 자세하게 알려주니 시간한가할때 통화문의 추천드림아주 친절하시고 저축은행직원들은 앱에대해서 잘 모르니 꼭 톡톡고객센터를 이용하는걸 추천​짧게 적을려고했는데 글솜씨가 없어서 글이 드럽게 길어졌네요...중요한거 몇개 빼먹은거 같은데...ㅋㅋ다른건 다른분들이 또 알려주시겠죠+ 저축은행은 (예금약관을 꼭 살펴보세요) 보통 1개월지나면 약정이자 50퍼 보장입니다.3개월이상된 상품은 해지하는게 메리트가 거의 없다고 보여지고요 한두달 된 상품은 해지 고려해보시는것도괜찮습니다. 물론 본인의 자금상태와 정기예금 통장갯수를 고려하셔야겠죠​하루이틀 지난 상품 해지하고 타상품가입하는것은 그러려니 하지만 한 열을 지난상품은 요즘같은 시기에 이점도 꼭 고려해보시길 바랍니다.​+ 창구가입상품은 만기일이 토.일.공휴일인경우 그전날에 만기해지가능합니다 (물론 그만큼이자는 차감)비대면 가입상품은 휴일지나고 익일 영업일에 자동해지됩니다. ​단리상품의 경우 이자수령일이 공휴일인경우에는 그전날미리 입금됩니다.​+ 회전정기예금의 경우 1년단위로 계약금리 보장, 전액해지가 가능합니다 (부분해지도 가능합니다.)회전주기 도래일 (가입 1년후의 날자)이 공휴일인경우 공휴일 이전 영업일에 자동으로 2회차 회전금리 변동이 생깁니다만약, 공휴일이 지나고 금리가 오를경우 해지후 재가입을 하던지...다른은행으로 갈아타시던지 해야해요(실제로 2틀차이로 0.2퍼 변동생긴 경험이 있습니다.)​​​​​​",['우와...정성어린 글...감사합니다']
OSB저축은행 예금," 💰""파킹통장부터 예적금까지 금리총정리"" 11월 최고 금리, 승자는 바로 '이 곳'!!! ",2022.11.12. 17:47,"여러분 안녕하세요~, 가입 후에 본격적으로 글을 작성하는 것은 처음인데요^^분명히 도움이 될 정보라서 함께 공유하면 좋을 것 같아 올려봅니다~



 









 



​""파킹통장부터 예적금까지"" 11월을 기준으로 최고 금리는 누구일지??"" 꼼꼼하게 정리했으니, 모두들 고금리를 잡으시길 바랍니다!!



 














​재테크 고수님들이시니까, '파킹 통장'(입출금자유통장)에 대해서 많이들 알고 계실 텐데요. 여러분의 목돈을 잠시 맡겨놓고 이자수익을 얻는 것을 파킹 통장이라고 하죠. 최근 금리인상으로 인해서 인기가 급증하고 있어서 금융업계들이 앞다투어 금리를 상향 조정하고 있습니다. ​​9월까지만 해도 저축은행에서는 페퍼 저축은행의 '페퍼스 파킹 통장'이 3.2%의 최고금리를 내놓으면서 인기가 집중되었는데 이제는 3.2%는 우스워진 상황입니다. ​그래서 오늘은 파킹 통장 금리비교를 통해서 어디로 갈아타면 좋을지 한눈에 이해할 수 있도록 정리해보았습니다.​현재 최고 금리 순위표(11월 기준)그럼 현재 금리가 높은 상품부터 파킹 통장 금리비교를 순서대로 알아보겠습니다. ​​​



 
















 



​[ 파킹통장 금리비교 1~10위 ]



 





파킹통장(수시입출금통장)

상품

최고금리(11월3일 기준)

납입한도

애큐온저축은행

머니쪼개기통장

4.0%

2천만원

웰컴저축은행

웰컴 직장인사랑 보통예금

3.8%

없음

OK저축은행

OK세컨드통장

3.5%

1천만원

SBI저축은행

사이다뱅크 입출금통장

3.2%

없음

페퍼저축은행

페퍼스파킹통장

3.2%

없음

SC제일은행

일복리저축예금(MMDA)

3.0%

1억원~20억원

케이뱅크

플러스박스

2.7%

3억원

카카오뱅크

세이프박스

2.6%

1억원

KDB 산업은행

KDB Hi입출금 통장

2.5%

없음

토스뱅크

토스뱅크 통장

2.3%

없음






 














​11월 3일을 기준으로 연 4.0%로 애큐온의 모바일 전용상품인 '머니 쪼개기'가 1위로 올라갔습니다. ​​​



 
















 



2위는 웰컴 저축은행, 3위는 OK저축은행, 4위는 SBI와 페퍼 저축은행의 파킹 통장이 공동으로 올라가 있습니다.​​​



 





















 



​케어 뱅크, 카카오 뱅크, 토스 뱅크와 같은 1 금융권 금융사들은 하위권을 차지했습니다. 저축은행의 금리 경쟁으로 인해서 인터넷뱅킹들의 강세가 이번 금리인상으로 많이 축소된 모습입니다.​파킹 통장 금리비교, 11월의 우승자는?​현재 '금리'를 기준으로 1위를 달리고 있는 곳은 '애큐온 저축은행'의 모바일 전용 자유예금통장입니다. '머니 쪼개기'라는 통장으로 연 4%이며, 한도는 2000만 원입니다.​​​



 














한도가 2천만 원까지 밖에 안되기 때문에, 다른 금융사의 파킹 통장을 추가 개설하는 것이 좋습니다.  통장은 만기가 없어서 언제든 지 꺼내쓸 수 있기 때문에 소액 자산가라면 이용하기 좋은 상품입니다.



 














파킹통장 금리비교


 



하지만 금리가 높다고 해도 여러분의 자산 상황과 맞지 않다면 세금 징수 후에 기대했던 수익보다 줄어들 위험이 있습니다.​그래서 제가 여러분의 목돈의 규모에 따라서 추천상품을 한번 더 정리해보았습니다. 수익을 내시는데 도움이 되시기 바랍니다.​​​



 



​나에게 맞는 금융상품은 고르는 방법은~?​​​








■ 내가 돈이 많 고액 자산가라



 
















 



고액자산가의 경우에 추천드리는 파킹 통장은 SC제일은행의 '일복리 저축예금(MMDA)'입니다.11월 30일까지 가입하면 1억 원~최대 20억 원 이내로 예치하는 첫 거래 고객을 대상으로 최대 90일 동안 최고 3%을 금리와 세전 혜택을 받을 수 있습니다.​​​​이용 계획에 따라서 단기에 사용할 자금은 파킹 통장에 예치하고, 중장기로 목돈을 불리려는 목적이라면 고금리 예적금 상품을 이용하는 것도 방법입니다.​현재 고금리 예금 적금 상품은 아래와 같습니다.​(참고로, 지난 '10월 28일'에 진행했던 연 6.5% OK 저축은행의 'OK정기예금'과 'OK안심 정기예금'은 이미 마감이 완료되었습니다.)​[ 정기예금 순위 - 12개월 기준 ]



 





금융사

예적금상품

최고금리(11월3일 기준)

애큐온 저축은행

플러스회전식정기예금

연 6.2%

OK저축은행

안심정기예금

연 6.05%

JT친애저축은행

비대면 정기예금

연 6.0%

KB저축은행

이플러스 정기예금

연 6.0%

OSB저축은행

인터넷OSB회전식정기예금

연 6.0%






 



​​​■ 나는 3000~5000천만 원 자산가라면?​​​



 














파킹통장 금리비교


 



일단, 2000천만 원 한도의 4% 이율 혜택을 볼 수 있는 애큐온의 '머니 쪼개기' 상품을 이용하고, 나머지는 고금리 상품중에서 우대금리 조건을 충족할 수 있는 상품을 추가적으로 활용하는 것이 좋습니다. ​​​



 



















파킹통장 금리비교


 



만일 우대금리 조건에 충족하는 것이 귀찮다면 조건 없이 연 3.2%인 SBI저축은행의 '사이다 뱅크 입출금통장'이나 페퍼 저축은행의 연 3.2% '페퍼스 파킹 통장'을 이용하시기를 추천합니다. 



 







파킹통장 금리비교







SBI는 1억 원, 페퍼스 파킹 통장은 5천만원까지 금리를 적용받을 수 있습니다.​■ 나는 2000천만 원 이하 소액 자산가라면?



 
















 



​애큐온에서 나온 '머니 쪼개기' 모바일 상품을 이용하면 되겠죠. 언제든지 출금할 수 있으니 돈이 묶일 걱정이 없습니다. ​혹시나 다른 금융사의 파킹 통장을 이용 중이였다면 갈아타기 하시기를 추천드립니다. 저는 9월 달에 '페퍼스 파킹 통장'에 목돈을 넣어놨었는데 이번에 이쪽으로 갈아탈 계획입니다.​​​그럼 여기까지 가장 최신의 금리정보를 가지고 금융상품을 비교해보았습니다. 기존에 파킹 통장을 운영하고 계셨다면 이번 기회로 갈아타기를 통해서 더 큰 이자수익을 보시기 바랍니다. ​그리고 목돈으로 중장기 이익을 보고자 하신다면 예적금에서 나온 파격적인 금리혜택 상품을 잘 활용하시기 바랍니다.​​​그럼 여기까지 파킹통장을 포함한 예적금 정보에 대해서 알아보았습니다~~^^​최근 변동된 내용이 있어어 덧붙여드립니다!!​페퍼저축은행이 페퍼스파킹통장 2를만들었더라구요, 기존 파킹통장보다 0.2%높은 3.5%입니다. 참고하시면 좋을 것 같아용!​​",['정보 알려주셔서 감사해요!!']
OSB저축은행 예금, 저축은행 지점이 난리에요 ,2022.10.21. 13:55,지금 애큐온 저축은행 갔다왔는데​사람이 너무 많아요​시간없다고 그냥 가고 월요일에 다시 오래요 ㅎㄷㄷ​다들 돈빼러 온 사람들이래요​이자율 경쟁이 붙으니 이자 낮은 곳은 뱅크런 분위기 나요,['온라인으로 돈 뺄 수 있는데 왜 방문들을 할까요?']
OSB저축은행 예금, OK저축은행 정기예금 인상 ,2022.10.20. 15:47,​,['6.5% 다들 봐서 5%대는 눈 껌쩍들도 안하실껄요? ^^ 7-8%대 다들 기다리고 계셔요']
OSB저축은행 예금, 퇴직금 DC형 ,2020.11.25. 17:42,"안녕하세요,​운용사는 하나은행으로 퇴직금 DC형을 예적금으로만 갖고 있다가 이건 아니다싶어서 투자를 해봐야겠다는 생각으로 이번에 변경했는데요, 아직 펀드 공부를 제대로 하지 않은 채로 시작하는 터라 조언 부탁드립니다.​1. 피델리티글로벌배당인컴증권자투자신탁(주식-재간접형)종류 CP-e  (20%)2. 피델리티글로벌테크놀로지증권자투자신탁(주식-재간접형)종류 CP-e  (20%)3. ab 미국그로스증권투자신탁(주식-재간접형)종류 Ce-P2  (25%)4. 미래에셋글로벌다이나믹플러스증권자투자신탁1호 (채권)- C-P2e (20%)5. OSB저축은행 정기예금 1년 DC-Re (15%)​1년~2년정도는 우선 유지하려고 합니다.​​",['종목 추천은 어렵지만 저도 5개정도에 나누어 놨는데...수익율이 10% 입니다. 동료들에게도 얘기했는데 손실위험때문에 그냥 적금으로 놔둔다네요......나누어 두면 손실도 보완이 되는거 같은데...저는 개인IRP도 마찬가지로 하고 있습니다.좋은 결과 있으시길 바랍니다.']
OSB저축은행 예금, 현재 금리 높은저축은행 안전성 질문있어요 ,2021.08.04. 20:05,오늘자 금리 높은 은행들입니다 여신 8이하 BIS 8이상이면 괜찮다고 하는데 은행이 너무 많아서 ​결정을 못하겠어요 ㅜ비슷한 금리면 은행 선택 어떻게 하시나요?​위의 은행중 인지도 높은곳 추천좀 부탁드립니다​일단 여신 8넘는 상상인 플러스 머스트 엠에스는 피해야 할것 같은데 머리아퍼요 ;,['그니까 상상인 생각보다 여신 그런거 안 좋더라구요 많이 알려져 있는 저축은이었는데']
OSB저축은행 예금, 예금금리 높은 곳 어디인가요? ,2022.11.25. 10:16,예금금리 높은 곳 좀 부탁드려요 ● 나의 재테크 목표는?  ​​● 독한 각오 한마디는?,['저는 1금융 3년짜리 보는데 우리은행이 제일 나은가 요즘 계속고민되요ㅠㅠ']
조은저축은행 예금," 예금 고민 들어주세요(조은저축, 새마을) ",2023.08.15. 14:16,500만원을 예금 통장에 넣어놓으려고 하는데요어제 입출금통장을 만들어서 9월 12일까지는 신규은행 개설 못합니다.​- 조은 저축은행 특판예금 6개월 4.5%(통장개설 20일 제한 상관없음)- 새마을금고 예금 5.5%. 아마 가입하면 7~9개월정도 할 듯(새마을금고 계좌가 없어서 20일 제한. 9월 12일부터 개설 가능)​지금 상황에서 바로 가입 가능한 거는 조은 저축은행인데 새마을금고 예금이 좀 더 쎄서 한 달 기다렸다가 새마을금고 드는 게 나을지 아님 하루 빨리 조은저축이 나을지 고민 되네요.. ​혹시 이거 관련 이자 계산해주실 수 있을까요?​+ 만약 한달 뒤 새마을에 예금 넣을 경우 500만원은 ok읏백만통장2(5백만원 초과부터 3.5%) 파킹통장에 잠시 넣어둘 예정입니다.,['기다렸다가 새마을금고에 가입이 좋을듯요. 한달에 1%차이 나므로 현재 새마을이 앞으로1개월후 동결내지 인상될지 모르고 떨어진다 한들 0.5%로 인하돼 5%여도 이자 대비는 같습니다.']
조은저축은행 예금, 조은저축은행(강남지점) 6개월 4.7%예금-방문가입만 ,2023.07.12. 11:54,,['정보감사드려요~~^^6개월 단기예금 찾고 있는데 너무 머네요ㅜㅜ']
조은저축은행 예금, 저축은행 보통예금개설 해지하니깐 풀리네요. ,2021.12.28. 19:10,"금일 오전 저축은행을 20일제한 풀린지 모르고 가입하여 일반보통예금이 생성되어 신협보통예금 20일 제한이 걸리게 되었습니다. 황당한것은 SB톡톡으로 가입은 되나 해지시는 내방입니다.​사는곳이 대전인데 ㅅㅂㅅㅂ 거리면서 서울 갱남 조은저축은행 본점을 갔습니다. 사전 콜센터로 해지하면 20제한 풀릴꺼라고 확인했는데 반대로 직원은 보통예금해지해도 기록이 남아서 안될꺼같다고 하시더군요. 허나 올라갔으니 시간 노력이 아까워서 해지했더니 다시 신협 보통예금 개설이 됩니다.​왕복 6시간걸렸던 보통예금해지 여행이 잘 마무리되었네요.손님이 다 할머니 할아버지 인데 SB톡톡가입하러 왔다하시고 직원들이 고충이 있을 것 같았습니다. 아이디 영문도 헷갈려하시는 분들이 많더군요....젊은사람들은 다 인터넷으로하고 창구는 점점 나이드신분들만 오는것 같네요.



 














​",['우와 대전에서 서울까지 오신거에요??']
