상품명,제목,날짜,본문,댓글
경남은행 적금, 경남은행 위더스 자유적금 최대 연6.75프로 3년(추천번호 있습니다) ,2023.11.10. 13:31,"저도 월재연에서 적금 검색하다가 출시된지 조금 된 것이지만 이율이 꽤나 괜찮아서 이번에 가입했습니다. ​가입조건을 보면 ​1. 대면으로 가입시 우대금리 0.5프로​2. 전입, 봉사, 기부, 헌혈 사실 인증시 ~11.30.까지 우대금리 1.5프로 ​ - 전입은 최근 6개월 내에 경남, 울산, 부산, 서울, 경기, 경북, 대구로 전입사실이 확인되어야 합니다. - 기부나 헌혈이 인증받기 쉬운 것 같아요. 기부 최소금액은 없습니다. ​3. 추천번호를 입력하여 가입하는 추가 고객 발생시 우대금리 1.5프로 ​​4. 경남은행 신규고객 0.5프로​​이렇게 우대금리 받으면 총 6.75프로 입니다. 3년이라 만기가 길어서 더 매력적이라고 저는 생각했습니다. 거기다가 자유적금이라서 활용도도 높지요.​혹시 가입하시게 되면 추천번호 2023018696으로 부탁드립니다. ​감사합니다^^","['안녕하세요, 제가 며칠 전에.. 그냥 다른 은행 통장 하나 만들어서 지금은 통장 개설이 불가할 건데요..해당 통장 해지하면, 경남은행에서 바로 개설이 가능한지 조언 좀 부탁 드려도 될까요? ^^;']"
경남은행 적금, 경남은행 5.2% 적금들었습니다! ,2023.01.27. 15:29,적금 50만원짜리 찾다가 경남은행 적금이 우대이율 채우기 쉽길래 가입했어요~ 적금 판매기간 끝나면 만명 추첨으로 우대이율 1.5프로 더 준다니 기대해보려구요~ 23년 한해 화이팅입니다! ^^,['우대금리 쿠폰은 어떻게 구하셨나요?']
경남은행 적금, [경남은행]세이브적금추천번호2023008258 ,2023.09.27. 01:12,[경남은행]세이브적금추천번호2023008258가입시 입력하고 우대이율받아요!!,[]
경남은행 적금, [경남은행 세이브적금]추천번호 2023008610 입력 부탁드립니다. ,2023.09.27. 18:05,추천번호 2023008610 입력 부탁드립니다.경남은행 오늘도 세이브적금 입니다.(아래 추천인 입력번호가 이미 추천되었다고 나와서 다시 새로 릴레이 시작합니다.),[]
경남은행 적금, 경남더위드 자유적금 ESG 우대이율 위한 서류 문의 ,2023.11.16. 10:36,"며칠 전에 삼성역 근처에 있는 경남은행에 가서 더위드자유적금 3년으로 가입하고 왔습니다.저는 헌혈증 가지고 가서 우대이율 받을 수 있었는데요.​헌혈 외에 기부, 봉사 서류 준비하려면 어떤 걸 준비해야 될까요?가족에게 권유하려다 보니 어떻게 준비해야 할 지 몰라 포기하게 되네요.​은행갔을 때 물어봤어야 되었는데 깜빡하고 못 물어봤어요.​참고로 이 적금 가입하려면직접 지점 방문해야 되고 경남은행 입출금계좌는 없어도 됩니다. 현금 1만원 이상 납입해야 됩니다.​3년 기준 최고 6.75 % 짜리입니다.",['이거 가입하실 분들은 추천번호 받으려면 예적금추천번호 게시판 규칙 숙지하시고 거기 활용하시면 편리합니다.']
경남은행 적금, 경남은행 위너스자유적금 제 2023011033추전번호입니다. ,2023.10.24. 09:34,경남은행 위너스자유적금 제2023011033추전번호입니다.,[]
경남은행 적금, [경남은행 위더스적금] 추천번호 2023019379 부탁드립니다(감사하용님 추천완료) ,2023.11.14. 15:29,10월 중순에 개설해놓고 이제서야 게시글 올리네요ㅠㅠ11월 말까지 추가금리 제공이니 얼른 서두르세요~~추천번호 2023019379 감사합니다,['제가 추천받을 순서인데 이렇게 되면 꼬여서 제 거는 넘어가게 되는데요. ㅎㅎ이럴 경우 평화로운 해결책이 없네요.경남 릴레이를 2개가 굴러가게 해야 되는데 이 게시판 시스템에서 그렇게 돌릴 순 없을 거 같고.']
경남은행 적금, 경남은행 적금 정보 ,2022.07.01. 06:54,​경남은행 어플 들어가니 있네요!​​,['감사합니다 ^^']
경남은행 적금, 경남은행 BNK위더스 자유적금 릴레이 추천번호 2023011033 입니다. 부탁드립니다. ,2023.10.26. 09:36,경남은행 BNK위더스 자유적금 릴레이 추천번호 2023011033 입니다. 부탁드립니다.,['중복으로 올리시면 안되는데….']
경남은행 적금, 경남은행 고객님 감사합니다 정기적금 3.85% ,2022.07.13. 17:15,"2년 적금 외 몇개의 적금과 예금을 월연재를 통해 꾸준히가입하고 있습니다.​경남은행 최고 4.02%1년 2년 3년 기간백만원까지 1인 1계좌 가입가능



 














적금 예금 이율 진짜 많이 올라서좋은 정보보고 또 가입하려구요우리 모두 부자되자구요",['우와 엄청 나시네요..ㄷㄷ만기까지 성공하세요~']
