,금융회사,상품명,적립방식,세전이자율,세후이자율,세후이자(예시),최고우대금리,실질이자율,이자계산방식,기간,비교 공시일,담당부서 및 연락처,우대조건,가입대상.1,가입방법,만기후 이자율,기타유의사항,등급,cluster_num,우대사항정리,급여이체,마케팅동의,자동이체,카드실적,최초거래,주택청약,비대면,영업점,해당은행,이체횟수,만기,변동금리,이벤트,기타,나이,환경,신혼,반려인,직장인,여행
0,경남은행,BNK 위더스(With-us)자유적금,정액적립식,-,-,-,6.25%,3.8749361129591486,단리,6개월,2023-10-23,"리테일금융부(대출문의),055-290-8743 마케팅추진부(예·적금상품),1600-8585",①ESG 실천 우대금리 1.50% - 영업점 가입 및 증빙서류 지참 한하여 적용 (2023.8.17 ~ 2023.11.30 이후 0.5%) ②신규고객 우대금리 0.50% - 당행 1년 이내예적금(청약포함)신규해지 이력미보유 ③공동가입우대금리 1.50%,개인 및 개인사업자,모두가능,"만기후 1개월 이내: 일반정기예금 기본이율의 50%
만기후 1개월 초과: 일반정기예금 기본이율의 20%","1.계약기간은 1개월 이상 36개월 이내 월단위
2.1인 1계좌
3.매월 최소 1만원 이상, 최고 100만원 이하 (천원 단위)",2,5,"* 환경 : 0.5% [ ESG 영업점 가입 및 증빙서류 지참]
* 최초거래 : 0.5% [ 당행 1년이내 예적금 신규해지 이력 미보유 ] 
* 기타 : 1.5%",,,,,0.5%,,,,,,,,,1.5%,,0.5%,,,,
1,페퍼저축은행,AI Peppers 배구사랑 정기적금,정액적립식,6.00%,5.08%,"8,883",6.00%,3.726217094792683,단리,6개월,2023-01-16,예금담당자 03180159344 대출문의 15990722,우대사항 없음,"개인고객(당행 입출금 계좌 보유 고객 중 페퍼스타디움 방문 관람 시 제공된 쿠폰코드를 수령한 고객, 1인1계좌),
쿠폰 유효기간에 한함",온라인,"*신규가입일 당시 영업점 및 인터넷 홈페이지에 고시한 경과기간별 만기후이자율 적용
*만기 후 이자율
- 1개월 이내 (당초 약정금리 또는 만기시 동일상품 동일계약기간의 신규 약정금리 중 낮은 이율) 
- 1개월 초과 ~ (보통예금 이율)
- 납입지연 이율(만기앞당김 이율 기간별 정기적금 기본이율)","*최소가입금액: 1만원 이상
*최고한도(단위:원) 50만원(정액 적립식)",5,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
2,페퍼저축은행,페퍼스 여행적금 with PAYCO,정액적립식,5.00%,4.23%,"7,403",5.00%,3.132406399118381,단리,6개월,2023-10-20,예금담당자 03180159344 대출문의 15990722,우대사항 없음,"개인 고객 - 당행 입출금계좌 보유 고객 - PAYCO 앱에서 진행하는 이벤트 참여 후 쿠폰코드를 수령한 고객(1인 1계좌) 단, 쿠폰 유효기간에 한함",온라인,"* 만기 후 1개월 이내 기간 : 최종 이율과 만기 시점 동일 상품 동일 계약기간의 신규 약정금리 중 낮은 금리를 적용
* 만기 후 1개월 초과 이후 기간 : 보통예금 이율(연 0.50%) 적용",최소가입금액: 1만원 이상,5,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
3,한국투자저축은행,비대면 정기적금,정액적립식,4.35%,3.68%,"6,440",4.35%,2.7473435403887247,단리,6개월,2023-10-30,"예금/대출 문의 1577-6333, 공시부서(영업지원팀)031-788-0306",- 없음,제한없음,온라인,"- 1개월 이하 : 당초 약정이율과 만기시점 해당상품 신규약정이율 중 낮은 이율
- 1개월 초과 : 연 0.2%",- 없음,1,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
4,한국투자저축은행,스마트뱅킹 정기적금,정액적립식,4.35%,3.68%,"6,440",4.35%,2.7473435403887247,단리,6개월,2023-10-30,"예금/대출 문의 1577-6333, 공시부서(영업지원팀)031-788-0306",- 없음,제한없음,온라인,"- 1개월 이하 : 당초 약정이율과 만기시점 해당상품 신규약정이율 중 낮은 이율
- 1개월 초과 : 연 0.2%",- 없음,1,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
5,한국투자저축은행,스마트뱅킹 정기적금(자유적립식),자유적립식,4.35%,3.68%,-,4.35%,2.7473435403887247,단리,6개월,2023-10-30,"예금/대출 문의 1577-6333, 공시부서(영업지원팀)031-788-0306",- 없음,제한없음,온라인,"- 1개월 이하 : 당초 약정이율과 만기시점 해당상품 신규약정이율 중 낮은 이율
- 1개월 초과 : 연 0.2%",- 없음,1,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
6,한국투자저축은행,인터넷정기적금,정액적립식,4.35%,3.68%,"6,440",4.35%,2.7473435403887247,단리,6개월,2023-10-30,"예금/대출 문의 1577-6333, 공시부서(영업지원팀)031-788-0306",- 없음,제한없음,온라인,"- 1개월 이하 : 당초 약정이율과 만기시점 해당상품 신규약정이율 중 낮은 이율
- 1개월 초과 : 연 0.2%",- 없음,1,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
7,한국투자저축은행,인터넷정기적금(자유적립식),자유적립식,4.35%,3.68%,-,4.35%,2.7473435403887247,단리,6개월,2023-10-30,"예금/대출 문의 1577-6333, 공시부서(영업지원팀)031-788-0306",- 없음,제한없음,온라인,"- 1개월 이하 : 당초 약정이율과 만기시점 해당상품 신규약정이율 중 낮은 이율
- 1개월 초과 : 연 0.2%",- 없음,1,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
8,안국저축은행,정기적금,정액적립식,4.30%,3.64%,"6,366",4.30%,2.7177531510421904,단리,6개월,2023-10-31,"(여신팀,031-941-7271)",없음,제한없음,영업점,0.002,없음,5,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
9,안국저축은행,정기적금(비대면),정액적립식,4.30%,3.64%,"6,366",4.30%,2.7177531510421904,단리,6개월,2023-10-31,"(여신팀,031-941-7271)",없음,제한없음,온라인,0.002,없음,5,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
