,금융회사,상품명,적립방식,세전이자율,세후이자율,세후이자(예시),최고우대금리,실질이자율,이자계산방식,기간,이자지급,비교 공시일,담당부서 및 연락처,우대조건,가입대상.1,가입방법,만기후 이자율,기타유의사항,등급,cluster_num,우대사항정리,급여이체,마케팅동의,자동이체,카드실적,최초거래,주택청약,비대면,영업점,해당은행,이체횟수,만기,변동금리,이벤트,기타,나이,환경,신혼,반려인,직장인,여행
0,OK저축은행,OK짠테크통장,,0.07,,,0.07,,,50만원이하,"매 월 셋째 주 토요일 다음날, 해지 시",,,,개인 ※ 1인 1계좌 개설 가능,온라인,,"￭ 오픈뱅킹 등록관련 유의사항 : 금융기관에 따라 오픈뱅킹 등록 및 이체 허용 기준이 다를 수 있습니다.
￭ 제한사항 : 계좌에 압류, 가압류, 질권설정 등 사고신고가 등록된 경우 원금 및 이자 지급 제한/예금잔액증명서 발급 당일 잔액변동 불가
￭ 이자계산 관련 : 원단위 미만은 절사합니다. 결제되지 않은 타행수표 등은 최종 잔액 산출 시 제외합니다./발생이자 계산 시 연 일수는 평년 윤년에도 불구하고 365일로 나눕니다.
￭ 가입제한 : 상품 가입 시 금융감독원의 금융사기 피해예방의 일환으로 증빙서류를 통해 금융거래목적을 확인하며 개설 목적 등 검토 후 가입이 제한될 수 있습니다.",3,,우대사항없음,,,,,,,,,,,,,,,,,,,,
1,OK저축은행,OK짠테크통장,,0.035,,,0.07,,,50만원초과,"매 월 셋째 주 토요일 다음날, 해지 시",,,,개인 ※ 1인 1계좌 개설 가능,온라인,,"￭ 오픈뱅킹 등록관련 유의사항 : 금융기관에 따라 오픈뱅킹 등록 및 이체 허용 기준이 다를 수 있습니다.
￭ 제한사항 : 계좌에 압류, 가압류, 질권설정 등 사고신고가 등록된 경우 원금 및 이자 지급 제한/예금잔액증명서 발급 당일 잔액변동 불가
￭ 이자계산 관련 : 원단위 미만은 절사합니다. 결제되지 않은 타행수표 등은 최종 잔액 산출 시 제외합니다./발생이자 계산 시 연 일수는 평년 윤년에도 불구하고 365일로 나눕니다.
￭ 가입제한 : 상품 가입 시 금융감독원의 금융사기 피해예방의 일환으로 증빙서류를 통해 금융거래목적을 확인하며 개설 목적 등 검토 후 가입이 제한될 수 있습니다.",3,,우대사항없음,,,,,,,,,,,,,,,,,,,,
2,OK저축은행,OK페이통장,,0.04,,,0.07,,,50만원이하,"매 월 셋째 주 토요일 다음날, 해지 시",,,,개인 ※ 1인 1계좌 개설 가능,온라인,,"계좌에 압류, 가압류, 질권설정 등 사고신고가 등록된 경우 원금 및 이자 지급 제한/예금잔액증명서 발급 당일 잔액변동 불가
원단위 미만은 절사합니다. 결제되지 않은 타행수표 등은 최종 잔액 산출 시 제외합니다./발생이자 계산 시 연 일수는 평년 윤년에도 불구하고 365일로 나눕니다.
상품 가입 시 금융감독원의 금융사기 피해예방의 일환으로 증빙서류를 통해 금융거래목적을 확인하며 개설 목적 등 검토 후 가입이 제한될 수 있습니다.",3,," 
* 기타 : 3% [OK페이통장을 4대페이사(네이버페이, 카카오페이, 페이코, 토스페이)에 결제/충전계좌로 등록]
",,,,,,,,,,,,,,3%,,,,,,
3,OK저축은행,OK페이통장,,0.005,,,0.07,,,50만원초과,"매 월 셋째 주 토요일 다음날, 해지 시",,,,개인 ※ 1인 1계좌 개설 가능,온라인,,"계좌에 압류, 가압류, 질권설정 등 사고신고가 등록된 경우 원금 및 이자 지급 제한/예금잔액증명서 발급 당일 잔액변동 불가
원단위 미만은 절사합니다. 결제되지 않은 타행수표 등은 최종 잔액 산출 시 제외합니다./발생이자 계산 시 연 일수는 평년 윤년에도 불구하고 365일로 나눕니다.
상품 가입 시 금융감독원의 금융사기 피해예방의 일환으로 증빙서류를 통해 금융거래목적을 확인하며 개설 목적 등 검토 후 가입이 제한될 수 있습니다.",3,,"
* 기타 : 3% [OK페이통장을 4대페이사(네이버페이, 카카오페이, 페이코, 토스페이)에 결제/충전계좌로 등록]",,,,,,,,,,,,,,3%,,,,,,
4,OK저축은행,OK읏백만통장Ⅱ,,0.045,,,0.05,,,100만원이하,"매 월 셋째 주 토요일 다음날, 해지 시",,,은행앱사용,개인 ※ 1인 1계좌 개설 가능,온라인,,"계좌에 압류, 가압류, 질권설정 등 사고신고가 등록된 경우 원금 및 이자 지급 제한/예금잔액증명서 발급 당일 잔액변동 불가
원단위 미만은 절사합니다. 결제되지 않은 타행수표 등은 최종 잔액 산출 시 제외합니다./발생이자 계산 시 연 일수는 평년 윤년에도 불구하고 365일로 나눕니다.
상품 가입 시 금융감독원의 금융사기 피해예방의 일환으로 증빙서류를 통해 금융거래목적을 확인하며 개설 목적 등 검토 후 가입이 제한될 수 있습니다.",3,,"* 해당은행 : 0.5% [시중은행(저축은행 제외)/증권사 앱(APP)에서 제공하는 오픈뱅킹에 OK읏백만통장Ⅱ 등록]

 ",,,,,,,,,0.5%,,,,,,,,,,,
5,OK저축은행,OK읏백만통장Ⅱ,,0.035,,,0.05,,,100만원초과~500만원이하,"매 월 셋째 주 토요일 다음날, 해지 시",,,은행앱사용,개인 ※ 1인 1계좌 개설 가능,온라인,,"계좌에 압류, 가압류, 질권설정 등 사고신고가 등록된 경우 원금 및 이자 지급 제한/예금잔액증명서 발급 당일 잔액변동 불가
원단위 미만은 절사합니다. 결제되지 않은 타행수표 등은 최종 잔액 산출 시 제외합니다./발생이자 계산 시 연 일수는 평년 윤년에도 불구하고 365일로 나눕니다.
상품 가입 시 금융감독원의 금융사기 피해예방의 일환으로 증빙서류를 통해 금융거래목적을 확인하며 개설 목적 등 검토 후 가입이 제한될 수 있습니다.",3,,"* 해당은행 : 0.5% [시중은행(저축은행 제외)/증권사 앱(APP)에서 제공하는 오픈뱅킹에 OK읏백만통장Ⅱ 등록]

 ",,,,,,,,,0.5%,,,,,,,,,,,
6,OK저축은행,OK읏백만통장Ⅱ,,0.03,,,0.05,,,500만원초과,"매 월 셋째 주 토요일 다음날, 해지 시",,,은행앱사용,개인 ※ 1인 1계좌 개설 가능,온라인,,"계좌에 압류, 가압류, 질권설정 등 사고신고가 등록된 경우 원금 및 이자 지급 제한/예금잔액증명서 발급 당일 잔액변동 불가
원단위 미만은 절사합니다. 결제되지 않은 타행수표 등은 최종 잔액 산출 시 제외합니다./발생이자 계산 시 연 일수는 평년 윤년에도 불구하고 365일로 나눕니다.
상품 가입 시 금융감독원의 금융사기 피해예방의 일환으로 증빙서류를 통해 금융거래목적을 확인하며 개설 목적 등 검토 후 가입이 제한될 수 있습니다.",3,,"* 해당은행 : 0.5% [시중은행(저축은행 제외)/증권사 앱(APP)에서 제공하는 오픈뱅킹에 OK읏백만통장Ⅱ 등록]

 ",,,,,,,,,0.5%,,,,,,,,,,,
7,애큐온저축은행,머니모으기,,0.02,,,0.05,,,200만원이하,"▶ 매일 최종 잔액 X 약정금리 X 1/365
→ 일자 별 이자를 모두 합산 후 도전성공일에 지급
▶ 이자지급시기 : 도전 성공일",,,,애큐온모바일자유예금을 보유한 실명의 개인,온라인,,"• 이 설명서는 「금융소비자 보호에 관한 법률」 제19조제1항, 동 법 시행령 제14조제1항에 따라 금융상품에 관한 중요한 사항을 이해하기 쉽도록 설명하기 위해 약정 전에 제공되는 자료로서, 상담일 이후 가입금액, 계약기간 등 변경에 의하여 일부 내용이 달라질 수 있습니다.
• 이 상품은 애큐온저축은행 수신상품 기획 부서에서 개발 및 관리하는 상품 입니다.",4,,"* 만기: 2.0% [마지막 회차 모으기 입금 완료& 마지막 회차 모으기 입금 후 도전성공일 전일까지 삐뽀출금이 없어야 함, 4주~26주간 적용]
* 이벤트 : 1.0% [꿈콩이 응원하기:도전 성공일 전일까지 총12회 출석 체크 완료 시 적용, 마케팅동의와 중복적용불가, 4주~26주간 적용]
* 마케팅동의 : 0.5% [이벤트와 중복적용불가, 4주~26주간 적용]",,0.5%,,,,,,,,,2.0%,,1.0%,,,,,,,
8,애큐온저축은행,플러스자유예금,,0.039,,,0.041,,,2000만원이하,"분기 별 이자를 결산기준일에 결산하여 세금 공제 후 원금에 가산
결산기준일 : 3,6,9,12월의 세번째 금요일",,,은행앱사용,"개인, 개인사업자, 법인사업자 : 1인 1계좌",상관없음,,"• 이 설명서는 「금융소비자 보호에 관한 법률」 제19조제1항, 동 법 시행령 제14조제1항에 따라 금융상품에 관한 중요한 사항을 이해하기 쉽도록 설명하기 위해 약정 전에 제공되는 자료로서, 상담일 이후 가입금액, 계약기간 등 변경에 의하여 일부 내용이 달라질 수 있습니다.
• 이 상품은 Regional Sales부문(Treasury팀)에서 관리하는 상품입니다.",4,,"* 마케팅동의 : 0.1% 
* 해당은행 : 0.1% [애큐온멤버십플러스 회원 가입 시]
",,0.1%,,,,,,,0.1%,,,,,,,,,,,
9,OK저축은행,OK세컨드통장,,0.035,,,0.04,,,500만원이하,매 월 셋째 주 토요일 다음날,,,은행앱사용,"실명의 개인 (개인사업자 포함), 1인 1회 1계좌 개설 가능
※ OK읏통장(OK e-읏통장)보유자 추가개설 불가",상관없음,,"계좌에 압류, 가압류, 질권설정 등 사고신고가 등록된 경우 원금 및 이자 지급 제한/예금잔액증명서 발급 당일 잔액변동 불가
원단위 미만은 절사합니다. 결제되지 않은 타행수표 등은 최종 잔액 산출 시 제외합니다./발생이자 계산 시 연 일수는 평년 윤년에도 불구하고 365일로 나눕니다.
상품 가입 시 금융감독원의 금융사기 피해예방의 일환으로 증빙서류를 통해 금융거래목적을 확인하며 개설 목적 등 검토 후 가입이 제한될 수 있습니다.",3,,* 해당은행 : 0.5% [시중은행(저축은행 제외)/증권사 앱(APP)에서 제공하는 오픈뱅킹에  OK세컨드통장 등록],,,,,,,,,0.5%,,,,,,,,,,,
