,구분,총자산,총부채,자기자본,당기순이익,BIS비율,여신비율,ROA,NIM,유형,유동성커버리지비율,대손충당금적립비율(고정이하여신대비)_은행,유동성비율,대손충당금적립비율(고정이하여신대비)_저축
0,경남은행,49459933,45969835,3490097,179759,14.63,0.37,0.6,1.9,은행,130.71,228.45,,
1,광주은행,28586391,26404717,2181674,153747,15.69,0.45,0.88,2.89,은행,106.41,180.26,,
2,국민은행,506394830,471771786,34623044,2318601,18.45,0.25,0.6,1.82,은행,101.26,253.86,,
3,농협은행주식회사,392192577,369969859,22222718,1512360,18.67,0.29,0.46,1.98,은행,120.42,286.55,,
4,대구은행,68723045,63714954,5008091,286461,17.65,0.58,0.56,2.04,은행,116.36,161.31,,
5,부산은행,76780802,71185860,5594942,282613,16.41,0.32,0.66,2.0,은행,118.62,276.54,,
6,수협은행,56036279,52373776,3662503,142852,13.62,0.46,0.41,1.58,은행,101.96,177.3,,
7,신한은행,447923271,418146352,29776919,1681786,18.39,0.27,0.58,1.62,은행,100.77,206.17,,
8,우리은행,424128116,400045552,24082564,1503502,16.42,0.24,0.61,1.62,은행,104.47,229.12,,
9,전북은행,22391172,20667009,1724163,82087,14.49,0.88,0.86,2.84,은행,118.69,152.96,,
10,제주은행,7196131,6664517,531614,9351,30.48,0.76,0.32,2.09,은행,138.69,120.81,,
11,주식회사 카카오뱅크,50518132,44640072,5878060,153482,32.06,0.42,0.67,2.43,은행,895.59,229.32,,
12,주식회사 케이뱅크,19550495,17697286,1853208,25045,13.54,0.98,0.55,2.26,은행,296.83,184.42,,
13,중소기업은행,407065544,379131832,27933712,1140624,15.05,0.98,0.64,1.83,은행,103.55,147.31,,
14,토스뱅크 주식회사,23629157,22465281,1163876,-38442,11.69,1.26,-1.08,1.92,은행,674.89,227.63,,
15,하나은행,475529889,445829560,29700329,1880510,17.79,0.21,0.67,1.64,은행,102.71,243.76,,
16,한국산업은행,319299995,280355600,38944394,2645619,14.11,0.62,0.15,0.58,은행,163.75,315.19,,
17,한국스탠다드차타드은행,97961336,92615550,5345786,252232,20.39,0.31,0.35,1.55,은행,132.4,233.71,,
18,한국씨티은행,47595095,41816508,5778587,207666,28.06,0.89,0.28,2.58,은행,163.08,236.76,,
19,CK저축은행,330530,294159,36371,5899,10.02,2.68,3.46,,저축은행,,,377.53,70.65
20,HB저축은행,1172302,1066458,105844,-30181,13.9,14.04,1.32,,저축은행,,,1225.8,54.94
21,고려저축은행,1693782,1463850,229932,-4121,12.0,4.25,-0.09,,저축은행,,,799.09,85.06
22,국제저축은행,229931,185067,44864,141,25.66,3.78,1.69,,저축은행,,,303.41,202.94
23,금화저축은행,637459,526951,110508,5026,20.48,5.84,1.83,,저축은행,,,800.72,68.03
24,남양저축은행,664382,479748,184634,11120,33.41,2.06,3.5,,저축은행,,,434.25,1090.63
25,다올저축은행,4379707,3946691,433016,-11286,12.48,4.4,1.5,,저축은행,,,319.13,92.82
26,대명상호저축은행,262264,228980,33284,34,17.53,3.12,0.44,,저축은행,,,428.97,89.02
27,대백저축은행,208950,186338,22612,306,14.33,8.69,0.86,,저축은행,,,333.15,75.48
28,대신저축은행,2516744,2246049,270695,-27206,12.89,3.83,0.46,,저축은행,,,331.37,111.45
